run_id,commit_sha,partition,scene_id,fault_id,fault_family,method,seed,expected_rules,observed_rules,true_positive,false_positive,false_negative,detected,valid_repair,incorrect_repair,escalated,validation_ms,repair_ms
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_task_preconditions,task,ablation-fixed-repair-order,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.048103,0.255382
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_interface,interface,direct-conversion,0,CSR-SCN-012,,0,0,1,0,0,0,0,0.001077,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_interface,interface,fixed-rule-repair,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.048859,0.239558
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_interface,interface,ablation-no-provenance,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.03468,0.223655
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_interface,interface,ablation-no-task-validator,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.049462,0.255468
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_interface,interface,ablation-fixed-repair-order,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.049238,0.247905
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_mass_provenance,provenance,direct-conversion,0,CSR-SCN-015,,0,0,1,0,0,0,0,0.001222,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_mass_provenance,provenance,fixed-rule-repair,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.042075,0.253199
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_mass_provenance,provenance,ablation-no-provenance,0,CSR-SCN-015,,0,0,1,0,0,1,0,0.034203,0.164464
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_mass_provenance,provenance,ablation-no-task-validator,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.038197,0.245397
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_mass_provenance,provenance,ablation-fixed-repair-order,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.040495,0.248209
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_tool_binding,tool,direct-conversion,0,CSR-SCN-024,,0,0,1,0,0,0,0,0.001098,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_tool_binding,tool,fixed-rule-repair,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.046894,0.248535
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_tool_binding,tool,ablation-no-provenance,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.033929,0.220284
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_tool_binding,tool,ablation-no-task-validator,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.043777,0.242307
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_tool_binding,tool,ablation-fixed-repair-order,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.047602,0.247341
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_up_axis,spatial,direct-conversion,0,CSR-SCN-001,,0,0,1,0,0,0,0,0.001068,0.0
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_up_axis,spatial,fixed-rule-repair,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.055651,0.263174
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_up_axis,spatial,ablation-no-provenance,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.037053,0.235043
